timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:38:56.278000,62819,1,worker-1,2023-10-15,3,latency,8.256
2025-09-18T16:38:56.885000,62820,2,worker-2,2023-10-16,0,latency,7.216
2025-09-18T16:39:01.066000,62819,1,worker-1,2023-10-15,4,latency,4.788
2025-09-18T16:39:01.067000,62819,1,worker-1,2023-10-15,5,batches,5.000
2025-09-18T16:39:01.440000,62819,1,worker-1,2023-10-15,,max-rss,8.581
2025-09-18T16:39:01.449000,62817,,coordinator,,,max-rss,0.082
2025-09-18T16:39:03.719000,62820,2,worker-2,2023-10-16,1,latency,6.833
2025-09-18T16:39:11.967000,62819,1,worker-1,2023-10-17,0,latency,7.693
2025-09-18T16:39:12.120000,62820,2,worker-2,2023-10-16,2,latency,8.401
2025-09-18T16:39:19.507000,62819,1,worker-1,2023-10-17,1,latency,7.540
2025-09-18T16:39:20.446000,62820,2,worker-2,2023-10-16,3,latency,8.326
2025-09-18T16:39:23.519000,62820,2,worker-2,2023-10-16,4,latency,3.073
2025-09-18T16:39:23.519000,62820,2,worker-2,2023-10-16,5,batches,5.000
2025-09-18T16:39:23.896000,62820,2,worker-2,2023-10-16,,max-rss,8.681
2025-09-18T16:39:23.905000,62817,,coordinator,,,max-rss,0.083
2025-09-18T16:39:27.060000,62819,1,worker-1,2023-10-17,2,latency,7.553
2025-09-18T16:39:33.700000,62819,1,worker-1,2023-10-17,3,latency,6.640
2025-09-18T16:39:39.734000,62820,2,worker-2,2023-10-18,0,latency,7.803
2025-09-18T16:39:41.508000,62819,1,worker-1,2023-10-17,4,latency,7.808
2025-09-18T16:39:48.103000,62820,2,worker-2,2023-10-18,1,latency,8.369
2025-09-18T16:39:49.368000,62819,1,worker-1,2023-10-17,5,latency,7.860
2025-09-18T16:39:56.335000,62820,2,worker-2,2023-10-18,2,latency,8.232
2025-09-18T16:39:57.763000,62819,1,worker-1,2023-10-17,6,latency,8.395
2025-09-18T16:40:04.783000,62820,2,worker-2,2023-10-18,3,latency,8.448
2025-09-18T16:40:06.154000,62819,1,worker-1,2023-10-17,7,latency,8.391
2025-09-18T16:40:13.228000,62820,2,worker-2,2023-10-18,4,latency,8.444
2025-09-18T16:40:14.537000,62819,1,worker-1,2023-10-17,8,latency,8.383
2025-09-18T16:40:21.130000,62820,2,worker-2,2023-10-18,5,latency,7.902
2025-09-18T16:40:22.761000,62819,1,worker-1,2023-10-17,9,latency,8.223
2025-09-18T16:40:28.464000,62820,2,worker-2,2023-10-18,6,latency,7.334
2025-09-18T16:40:31.081000,62819,1,worker-1,2023-10-17,10,latency,8.320
2025-09-18T16:40:36.514000,62820,2,worker-2,2023-10-18,7,latency,8.049
2025-09-18T16:40:39.199000,62819,1,worker-1,2023-10-17,11,latency,8.118
2025-09-18T16:40:44.260000,62820,2,worker-2,2023-10-18,8,latency,7.747
2025-09-18T16:40:47.811000,62819,1,worker-1,2023-10-17,12,latency,8.612
2025-09-18T16:40:51.535000,62820,2,worker-2,2023-10-18,9,latency,7.275
2025-09-18T16:40:56.620000,62819,1,worker-1,2023-10-17,13,latency,8.808
2025-09-18T16:40:58.673000,62820,2,worker-2,2023-10-18,10,latency,7.137
2025-09-18T16:41:04.723000,62819,1,worker-1,2023-10-17,14,latency,8.103
2025-09-18T16:41:06.021000,62820,2,worker-2,2023-10-18,11,latency,7.348
2025-09-18T16:41:13.203000,62819,1,worker-1,2023-10-17,15,latency,8.481
2025-09-18T16:41:13.408000,62820,2,worker-2,2023-10-18,12,latency,7.387
2025-09-18T16:41:20.917000,62820,2,worker-2,2023-10-18,13,latency,7.509
2025-09-18T16:41:21.708000,62819,1,worker-1,2023-10-17,16,latency,8.505
2025-09-18T16:41:29.159000,62820,2,worker-2,2023-10-18,14,latency,8.242
2025-09-18T16:41:30.244000,62819,1,worker-1,2023-10-17,17,latency,8.536
2025-09-18T16:41:37.345000,62820,2,worker-2,2023-10-18,15,latency,8.186
2025-09-18T16:41:38.379000,62819,1,worker-1,2023-10-17,18,latency,8.135
2025-09-18T16:41:38.379000,62819,1,worker-1,2023-10-17,19,batches,19.000
2025-09-18T16:41:38.945000,62819,1,worker-1,2023-10-17,,max-rss,9.051
2025-09-18T16:41:38.962000,62817,,coordinator,,,max-rss,0.090
2025-09-18T16:41:44.274000,62820,2,worker-2,2023-10-18,16,latency,6.929
2025-09-18T16:41:51.827000,62820,2,worker-2,2023-10-18,17,latency,7.553
2025-09-18T16:41:52.669000,62819,1,worker-1,2023-10-19,0,latency,8.790
2025-09-18T16:42:00.332000,62820,2,worker-2,2023-10-18,18,latency,8.505
2025-09-18T16:42:00.924000,62819,1,worker-1,2023-10-19,1,latency,8.255
2025-09-18T16:42:08.505000,62820,2,worker-2,2023-10-18,19,latency,8.172
2025-09-18T16:42:09.441000,62819,1,worker-1,2023-10-19,2,latency,8.516
2025-09-18T16:42:16.637000,62820,2,worker-2,2023-10-18,20,latency,8.132
2025-09-18T16:42:17.809000,62819,1,worker-1,2023-10-19,3,latency,8.368
2025-09-18T16:42:24.297000,62820,2,worker-2,2023-10-18,21,latency,7.660
2025-09-18T16:42:25.842000,62819,1,worker-1,2023-10-19,4,latency,8.033
2025-09-18T16:42:32.098000,62820,2,worker-2,2023-10-18,22,latency,7.801
2025-09-18T16:42:34.002000,62819,1,worker-1,2023-10-19,5,latency,8.160
2025-09-18T16:42:39.795000,62820,2,worker-2,2023-10-18,23,latency,7.697
2025-09-18T16:42:41.979000,62819,1,worker-1,2023-10-19,6,latency,7.976
2025-09-18T16:42:47.274000,62820,2,worker-2,2023-10-18,24,latency,7.479
2025-09-18T16:42:50.029000,62819,1,worker-1,2023-10-19,7,latency,8.050
2025-09-18T16:42:54.307000,62820,2,worker-2,2023-10-18,25,latency,7.032
2025-09-18T16:42:58.418000,62819,1,worker-1,2023-10-19,8,latency,8.389
2025-09-18T16:43:01.391000,62820,2,worker-2,2023-10-18,26,latency,7.084
2025-09-18T16:43:07.027000,62819,1,worker-1,2023-10-19,9,latency,8.609
2025-09-18T16:43:08.793000,62820,2,worker-2,2023-10-18,27,latency,7.402
